# S7h gate: full repository race, tree 90a98ea3922db883d34f766664dfd7aa9e490805, sandbox identity 12001
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-agent	1.026s
?   	github.com/gxbrave/AntiNAT/cmd/antinat-controller	[no test files]
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-probe	1.014s
ok  	github.com/gxbrave/AntiNAT/cmd/antinatctl	2.738s
ok  	github.com/gxbrave/AntiNAT/internal/agent	5.068s
ok  	github.com/gxbrave/AntiNAT/internal/agent/control	7.866s
ok  	github.com/gxbrave/AntiNAT/internal/agent/localstate	4.185s
ok  	github.com/gxbrave/AntiNAT/internal/agent/reconcile	8.544s
ok  	github.com/gxbrave/AntiNAT/internal/buildinfo	1.906s
ok  	github.com/gxbrave/AntiNAT/internal/config	1.014s
ok  	github.com/gxbrave/AntiNAT/internal/controller	7.765s
ok  	github.com/gxbrave/AntiNAT/internal/controller/agenthub	21.625s
ok  	github.com/gxbrave/AntiNAT/internal/controller/api	7.602s
ok  	github.com/gxbrave/AntiNAT/internal/controller/auth	6.805s
ok  	github.com/gxbrave/AntiNAT/internal/controller/probe	26.508s
ok  	github.com/gxbrave/AntiNAT/internal/controller/store	51.079s
?   	github.com/gxbrave/AntiNAT/internal/controller/web	[no test files]
ok  	github.com/gxbrave/AntiNAT/internal/forward	1.007s
ok  	github.com/gxbrave/AntiNAT/internal/forward/tcp	2.160s
ok  	github.com/gxbrave/AntiNAT/internal/protocol	5.006s
ok  	github.com/gxbrave/AntiNAT/internal/security	1.037s
ok  	github.com/gxbrave/AntiNAT/internal/security/framecrypto	1.009s
ok  	github.com/gxbrave/AntiNAT/internal/traversal	7.991s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/direct	1.010s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/manual	1.006s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/natpmp	1.261s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/pcp	1.264s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/stun	1.474s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/upnp	1.335s
?   	github.com/gxbrave/AntiNAT/migrations	[no test files]
ok  	github.com/gxbrave/AntiNAT/scripts	1.018s
ok  	github.com/gxbrave/AntiNAT/spike/datapath	1.126s
ok  	github.com/gxbrave/AntiNAT/spike/network	4.125s
ok  	github.com/gxbrave/AntiNAT/spike/sandbox	12.323s
ok  	github.com/gxbrave/AntiNAT/spike/sqlite	2.214s
ok  	github.com/gxbrave/AntiNAT/spike/state	2.759s
ok  	github.com/gxbrave/AntiNAT/spike/windows-identity	1.103s
ok  	github.com/gxbrave/AntiNAT/test/contracts	3.694s
ok  	github.com/gxbrave/AntiNAT/test/e2e	2.898s
ok  	github.com/gxbrave/AntiNAT/test/e2e/harness	1.161s
exit=0
