ok  	github.com/gxbrave/AntiNAT/cmd/antinat-agent	1.016s
?   	github.com/gxbrave/AntiNAT/cmd/antinat-controller	[no test files]
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-probe	1.013s
ok  	github.com/gxbrave/AntiNAT/cmd/antinatctl	2.864s
ok  	github.com/gxbrave/AntiNAT/internal/agent	5.140s
ok  	github.com/gxbrave/AntiNAT/internal/agent/control	7.825s
ok  	github.com/gxbrave/AntiNAT/internal/agent/localstate	4.302s
ok  	github.com/gxbrave/AntiNAT/internal/agent/reconcile	8.347s
ok  	github.com/gxbrave/AntiNAT/internal/buildinfo	2.095s
ok  	github.com/gxbrave/AntiNAT/internal/config	1.017s
ok  	github.com/gxbrave/AntiNAT/internal/controller	7.929s
ok  	github.com/gxbrave/AntiNAT/internal/controller/agenthub	21.298s
ok  	github.com/gxbrave/AntiNAT/internal/controller/api	7.549s
ok  	github.com/gxbrave/AntiNAT/internal/controller/auth	6.965s
ok  	github.com/gxbrave/AntiNAT/internal/controller/probe	26.421s
ok  	github.com/gxbrave/AntiNAT/internal/controller/store	50.595s
?   	github.com/gxbrave/AntiNAT/internal/controller/web	[no test files]
ok  	github.com/gxbrave/AntiNAT/internal/forward	1.012s
ok  	github.com/gxbrave/AntiNAT/internal/forward/tcp	2.157s
ok  	github.com/gxbrave/AntiNAT/internal/protocol	4.983s
ok  	github.com/gxbrave/AntiNAT/internal/security	1.037s
ok  	github.com/gxbrave/AntiNAT/internal/security/framecrypto	1.012s
ok  	github.com/gxbrave/AntiNAT/internal/traversal	8.044s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/direct	1.009s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/manual	1.008s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/natpmp	1.262s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/pcp	1.264s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/stun	1.475s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/upnp	1.334s
?   	github.com/gxbrave/AntiNAT/migrations	[no test files]
ok  	github.com/gxbrave/AntiNAT/scripts	1.019s
ok  	github.com/gxbrave/AntiNAT/spike/datapath	1.127s
ok  	github.com/gxbrave/AntiNAT/spike/network	4.125s
ok  	github.com/gxbrave/AntiNAT/spike/sandbox	12.325s
ok  	github.com/gxbrave/AntiNAT/spike/sqlite	2.111s
ok  	github.com/gxbrave/AntiNAT/spike/state	2.712s
ok  	github.com/gxbrave/AntiNAT/spike/windows-identity	1.097s
ok  	github.com/gxbrave/AntiNAT/test/contracts	3.799s
ok  	github.com/gxbrave/AntiNAT/test/e2e	2.885s
ok  	github.com/gxbrave/AntiNAT/test/e2e/harness	1.161s
