=== P13 full race after repair close-out ===
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-agent	1.022s
?   	github.com/gxbrave/AntiNAT/cmd/antinat-controller	[no test files]
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-probe	1.025s
ok  	github.com/gxbrave/AntiNAT/cmd/antinatctl	2.787s
ok  	github.com/gxbrave/AntiNAT/internal/agent	5.269s
ok  	github.com/gxbrave/AntiNAT/internal/agent/control	8.050s
ok  	github.com/gxbrave/AntiNAT/internal/agent/localstate	4.007s
ok  	github.com/gxbrave/AntiNAT/internal/agent/reconcile	8.432s
ok  	github.com/gxbrave/AntiNAT/internal/buildinfo	1.813s
ok  	github.com/gxbrave/AntiNAT/internal/config	1.016s
ok  	github.com/gxbrave/AntiNAT/internal/controller	8.063s
ok  	github.com/gxbrave/AntiNAT/internal/controller/agenthub	22.039s
ok  	github.com/gxbrave/AntiNAT/internal/controller/api	8.023s
ok  	github.com/gxbrave/AntiNAT/internal/controller/auth	7.286s
ok  	github.com/gxbrave/AntiNAT/internal/controller/probe	27.464s
ok  	github.com/gxbrave/AntiNAT/internal/controller/store	52.443s
?   	github.com/gxbrave/AntiNAT/internal/controller/web	[no test files]
ok  	github.com/gxbrave/AntiNAT/internal/forward	1.010s
ok  	github.com/gxbrave/AntiNAT/internal/forward/tcp	2.179s
ok  	github.com/gxbrave/AntiNAT/internal/forward/udp	1.077s
ok  	github.com/gxbrave/AntiNAT/internal/protocol	5.186s
ok  	github.com/gxbrave/AntiNAT/internal/security	1.038s
ok  	github.com/gxbrave/AntiNAT/internal/security/framecrypto	1.012s
ok  	github.com/gxbrave/AntiNAT/internal/traversal	8.312s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/direct	1.011s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/manual	1.008s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/natpmp	1.263s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/pcp	1.264s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/stun	1.476s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/upnp	1.332s
?   	github.com/gxbrave/AntiNAT/migrations	[no test files]
ok  	github.com/gxbrave/AntiNAT/scripts	1.020s
ok  	github.com/gxbrave/AntiNAT/spike/datapath	1.144s
ok  	github.com/gxbrave/AntiNAT/spike/network	4.131s
ok  	github.com/gxbrave/AntiNAT/spike/sandbox	12.351s
ok  	github.com/gxbrave/AntiNAT/spike/sqlite	2.127s
ok  	github.com/gxbrave/AntiNAT/spike/state	2.801s
ok  	github.com/gxbrave/AntiNAT/spike/windows-identity	1.118s
ok  	github.com/gxbrave/AntiNAT/test/contracts	3.797s
ok  	github.com/gxbrave/AntiNAT/test/e2e	2.903s
ok  	github.com/gxbrave/AntiNAT/test/e2e/harness	1.162s
exit=0
