ok  	github.com/gxbrave/AntiNAT/cmd/antinat-agent	1.011s
?   	github.com/gxbrave/AntiNAT/cmd/antinat-controller	[no test files]
?   	github.com/gxbrave/AntiNAT/cmd/antinat-hook-runner	[no test files]
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-probe	1.018s
ok  	github.com/gxbrave/AntiNAT/cmd/antinatctl	2.595s
ok  	github.com/gxbrave/AntiNAT/internal/agent	5.789s
ok  	github.com/gxbrave/AntiNAT/internal/agent/control	8.957s
ok  	github.com/gxbrave/AntiNAT/internal/agent/localstate	2.328s
ok  	github.com/gxbrave/AntiNAT/internal/agent/reconcile	4.703s
ok  	github.com/gxbrave/AntiNAT/internal/buildinfo	1.580s
ok  	github.com/gxbrave/AntiNAT/internal/config	1.008s
ok  	github.com/gxbrave/AntiNAT/internal/controller	9.756s
ok  	github.com/gxbrave/AntiNAT/internal/controller/agenthub	29.054s
ok  	github.com/gxbrave/AntiNAT/internal/controller/api	24.976s
ok  	github.com/gxbrave/AntiNAT/internal/controller/auth	6.335s
ok  	github.com/gxbrave/AntiNAT/internal/controller/deployment	1.009s
ok  	github.com/gxbrave/AntiNAT/internal/controller/lifecycle	6.323s
ok  	github.com/gxbrave/AntiNAT/internal/controller/probe	37.067s
ok  	github.com/gxbrave/AntiNAT/internal/controller/recovery	9.271s
ok  	github.com/gxbrave/AntiNAT/internal/controller/store	91.459s
ok  	github.com/gxbrave/AntiNAT/internal/controller/web	2.246s
ok  	github.com/gxbrave/AntiNAT/internal/forward	1.007s
ok  	github.com/gxbrave/AntiNAT/internal/forward/tcp	2.135s
ok  	github.com/gxbrave/AntiNAT/internal/forward/udp	1.071s
ok  	github.com/gxbrave/AntiNAT/internal/hook	22.446s
ok  	github.com/gxbrave/AntiNAT/internal/install	1.140s
ok  	github.com/gxbrave/AntiNAT/internal/metrics	1.006s
ok  	github.com/gxbrave/AntiNAT/internal/protocol	4.789s
ok  	github.com/gxbrave/AntiNAT/internal/security	1.036s
ok  	github.com/gxbrave/AntiNAT/internal/security/framecrypto	1.009s
ok  	github.com/gxbrave/AntiNAT/internal/traversal	8.335s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/direct	1.008s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/manual	1.006s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/natpmp	1.261s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/pcp	1.263s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/stun	1.474s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/upnp	1.331s
?   	github.com/gxbrave/AntiNAT/migrations	[no test files]
ok  	github.com/gxbrave/AntiNAT/scripts	1.016s
ok  	github.com/gxbrave/AntiNAT/spike/datapath	1.127s
ok  	github.com/gxbrave/AntiNAT/spike/network	4.121s
ok  	github.com/gxbrave/AntiNAT/spike/sandbox	12.285s
ok  	github.com/gxbrave/AntiNAT/spike/sqlite	1.842s
ok  	github.com/gxbrave/AntiNAT/spike/state	2.597s
ok  	github.com/gxbrave/AntiNAT/spike/windows-identity	1.094s
?   	github.com/gxbrave/AntiNAT/test/browser/seed	[no test files]
ok  	github.com/gxbrave/AntiNAT/test/contracts	3.504s
ok  	github.com/gxbrave/AntiNAT/test/e2e	2.894s
ok  	github.com/gxbrave/AntiNAT/test/e2e/harness	1.185s
ok  	github.com/gxbrave/AntiNAT/test/integration	1.033s
?   	github.com/gxbrave/AntiNAT/web	[no test files]
