ok  	github.com/gxbrave/AntiNAT/cmd/antinat-agent	0.022s
?   	github.com/gxbrave/AntiNAT/cmd/antinat-controller	[no test files]
?   	github.com/gxbrave/AntiNAT/cmd/antinat-hook-runner	[no test files]
ok  	github.com/gxbrave/AntiNAT/cmd/antinat-probe	0.033s
ok  	github.com/gxbrave/AntiNAT/cmd/antinatctl	1.977s
ok  	github.com/gxbrave/AntiNAT/internal/agent	8.697s
ok  	github.com/gxbrave/AntiNAT/internal/agent/control	5.544s
ok  	github.com/gxbrave/AntiNAT/internal/agent/localstate	6.586s
ok  	github.com/gxbrave/AntiNAT/internal/agent/reconcile	11.408s
ok  	github.com/gxbrave/AntiNAT/internal/buildinfo	1.503s
ok  	github.com/gxbrave/AntiNAT/internal/config	0.008s
ok  	github.com/gxbrave/AntiNAT/internal/controller	5.595s
ok  	github.com/gxbrave/AntiNAT/internal/controller/agenthub	19.752s
ok  	github.com/gxbrave/AntiNAT/internal/controller/api	16.853s
ok  	github.com/gxbrave/AntiNAT/internal/controller/auth	6.031s
ok  	github.com/gxbrave/AntiNAT/internal/controller/deployment	0.012s
ok  	github.com/gxbrave/AntiNAT/internal/controller/lifecycle	2.728s
ok  	github.com/gxbrave/AntiNAT/internal/controller/probe	16.701s
ok  	github.com/gxbrave/AntiNAT/internal/controller/recovery	3.089s
ok  	github.com/gxbrave/AntiNAT/internal/controller/store	23.000s
ok  	github.com/gxbrave/AntiNAT/internal/controller/web	0.494s
ok  	github.com/gxbrave/AntiNAT/internal/forward	0.008s
ok  	github.com/gxbrave/AntiNAT/internal/forward/tcp	1.211s
ok  	github.com/gxbrave/AntiNAT/internal/forward/udp	0.072s
ok  	github.com/gxbrave/AntiNAT/internal/hook	11.711s
ok  	github.com/gxbrave/AntiNAT/internal/install	0.610s
ok  	github.com/gxbrave/AntiNAT/internal/metrics	0.002s
ok  	github.com/gxbrave/AntiNAT/internal/protocol	0.755s
ok  	github.com/gxbrave/AntiNAT/internal/security	0.034s
ok  	github.com/gxbrave/AntiNAT/internal/security/framecrypto	0.004s
ok  	github.com/gxbrave/AntiNAT/internal/traversal	5.347s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/direct	0.005s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/manual	0.002s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/natpmp	0.258s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/pcp	0.259s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/stun	0.477s
ok  	github.com/gxbrave/AntiNAT/internal/traversal/upnp	0.324s
?   	github.com/gxbrave/AntiNAT/migrations	[no test files]
ok  	github.com/gxbrave/AntiNAT/scripts	0.010s
ok  	github.com/gxbrave/AntiNAT/spike/datapath	0.069s
ok  	github.com/gxbrave/AntiNAT/spike/network	0.075s
ok  	github.com/gxbrave/AntiNAT/spike/sandbox	1.692s
ok  	github.com/gxbrave/AntiNAT/spike/sqlite	2.956s
ok  	github.com/gxbrave/AntiNAT/spike/state	3.105s
ok  	github.com/gxbrave/AntiNAT/spike/windows-identity	0.279s
?   	github.com/gxbrave/AntiNAT/test/browser/seed	[no test files]
ok  	github.com/gxbrave/AntiNAT/test/contracts	0.732s
ok  	github.com/gxbrave/AntiNAT/test/e2e	2.187s
ok  	github.com/gxbrave/AntiNAT/test/e2e/harness	0.158s
ok  	github.com/gxbrave/AntiNAT/test/integration	0.059s
?   	github.com/gxbrave/AntiNAT/web	[no test files]
